Customer_id,Age,Gender,ProductCategory,PurchaseAmount,PurchaseDate
<<<<<<< HEAD
1001,55,Prefer Not to say,Books,232.91,2024-02-02
1002,21,Prefer Not to say,Apparel,351.09,2024-01-12
1003,18,Prefer Not to say,Food & Beverage,407.48,2024-12-21
1004,27,Female,Apparel,96.28,2024-10-08
1005,19,Female,Books,372.46,2024-11-24
1006,20,Female,Apparel,278.35,2024-10-18
1007,27,Female,Books,478.6,2024-07-19
1008,62,Male,Home Goods,447.49,2024-06-28
1009,26,Female,Books,285.3,2024-11-06
1010,49,Prefer Not to say,Books,289.02,2024-05-22
1011,40,Prefer Not to say,Books,435.83,2024-01-26
1012,63,Male,Home Goods,316.37,2024-10-12
1013,62,Prefer Not to say,Books,272.58,2024-01-05
1014,32,Male,Home Goods,123.06,2024-04-10
1015,59,Male,Home Goods,223.02,2024-01-04
1016,20,Prefer Not to say,Home Goods,31.43,2024-10-02
1017,69,Male,Apparel,348.62,2024-02-13
1018,43,Female,Food & Beverage,35.76,2024-07-29
1019,66,Prefer Not to say,Food & Beverage,240.39,2024-08-10
1020,35,Male,Food & Beverage,488.56,2024-11-01
1021,24,Prefer Not to say,Electronics,350.58,2024-06-04
1022,39,Male,Apparel,347.43,2024-10-31
1023,52,Female,Home Goods,318.97,2024-04-10
1024,26,Female,Food & Beverage,135.9,2024-02-13
1025,30,Female,Apparel,328.52,2024-02-26
1026,56,Female,Electronics,355.55,2024-02-18
1027,58,Prefer Not to say,Food & Beverage,378.87,2024-09-16
1028,35,Female,Apparel,370.67,2024-04-09
1029,36,Prefer Not to say,Books,172.79,2024-09-24
1030,21,Prefer Not to say,Food & Beverage,134.94,2024-12-07
1031,45,Prefer Not to say,Electronics,125.24,2024-10-28
1032,52,Prefer Not to say,Electronics,385.61,2024-07-15
1033,57,Prefer Not to say,Electronics,38.25,2024-12-13
1034,28,Prefer Not to say,Electronics,191.7,2024-09-04
1035,31,Female,Food & Beverage,427.37,2024-11-29
1036,65,Prefer Not to say,Apparel,446.15,2024-10-13
1037,62,Male,Electronics,18.01,2024-01-09
1038,54,Prefer Not to say,Books,148.08,2024-12-14
1039,23,Female,Food & Beverage,53.53,2024-10-13
1040,54,Male,Electronics,175.11,2024-03-14
1041,38,Prefer Not to say,Electronics,105.85,2024-05-03
1042,49,Male,Electronics,380.81,2024-10-24
1043,61,Male,Electronics,356.73,2024-11-09
1044,61,Female,Electronics,191.87,2024-01-14
1045,41,Prefer Not to say,Apparel,267.83,2024-04-11
1046,21,Female,Food & Beverage,402.69,2024-12-08
1047,63,Female,Home Goods,146.36,2024-12-05
1048,33,Female,Home Goods,51.3,2024-02-13
1049,46,Male,Apparel,272.19,2024-05-20
1050,55,Male,Books,131.95,2024-08-13
1051,24,Prefer Not to say,Food & Beverage,356.2,2024-06-22
1052,64,Male,Books,181.14,2024-04-10
1053,31,Prefer Not to say,Books,30.08,2024-03-23
1054,45,Female,Apparel,94.67,2024-02-04
1055,29,Female,Electronics,86.06,2024-05-24
1056,34,Female,Apparel,180.79,2024-02-17
1057,33,Male,Electronics,262.17,2024-04-16
1058,54,Female,Electronics,237.41,2024-02-25
1059,44,Female,Food & Beverage,109.48,2024-08-03
1060,47,Female,Home Goods,268.83,2024-02-22
1061,31,Female,Food & Beverage,62.48,2024-12-17
1062,36,Female,Apparel,352.68,2024-03-21
1063,23,Female,Electronics,219.08,2024-09-05
1064,39,Prefer Not to say,Books,11.85,2024-09-09
1065,60,Male,Apparel,82.13,2024-05-31
1066,46,Male,Home Goods,397.95,2024-05-13
1067,22,Male,Electronics,287.44,2024-01-11
1068,42,Female,Books,195.85,2024-04-04
1069,57,Prefer Not to say,Home Goods,269.54,2024-02-17
1070,22,Male,Home Goods,12.81,2024-06-25
1071,66,Female,Home Goods,354.83,2024-01-04
1072,27,Female,Electronics,112.97,2024-08-15
1073,47,Female,Home Goods,86.54,2024-04-12
1074,50,Prefer Not to say,Apparel,365.19,2024-11-04
1075,63,Male,Apparel,397.33,2024-12-02
1076,33,Male,Electronics,328.62,2024-01-16
1077,28,Prefer Not to say,Home Goods,377.04,2024-01-06
1078,42,Male,Food & Beverage,72.39,2024-08-02
1079,45,Male,Food & Beverage,88.64,2024-07-02
1080,24,Prefer Not to say,Food & Beverage,389.05,2024-04-19
1081,60,Female,Books,234.06,2024-01-23
1082,45,Male,Books,457.02,2024-06-08
1083,46,Female,Electronics,344.78,2024-12-27
1084,50,Prefer Not to say,Books,112.18,2024-02-26
1085,31,Prefer Not to say,Books,424.81,2024-08-14
1086,67,Female,Electronics,24.25,2024-09-08
1087,30,Prefer Not to say,Home Goods,328.24,2024-09-16
1088,32,Male,Books,397.71,2024-08-12
1089,20,Prefer Not to say,Books,232.61,2024-06-17
1090,39,Prefer Not to say,Food & Beverage,147.81,2024-09-06
1091,43,Female,Apparel,446.48,2024-08-12
1092,23,Female,Home Goods,43.96,2024-02-19
1093,46,Male,Food & Beverage,486.93,2024-09-29
1094,19,Prefer Not to say,Home Goods,163.57,2024-10-17
1095,22,Prefer Not to say,Apparel,474.05,2024-08-11
1096,68,Prefer Not to say,Home Goods,264.45,2024-12-13
